"""","郵便局数総 数","郵便局(直営)","普通局","特定局","簡易局","郵便差出箱数","普通通常総 数(千通)","第一種_定 型(千通)","第一種_定型外(千通)","第二種(千通)","第三種(千通)","第四種(千通)","年賀郵便(千通)","選挙郵便(千通)","特殊通常総数(千通)","特殊通常_普通速達(千通)","特殊通常_書 留(千通)","特殊通常_電子郵便(千通)","小包郵便総数(千通)","小包郵便_普  通(千通)","小包郵便_書留一般(千通)","小包郵便_普通速達(千通)"
"平成 2年度(1990年度)","319.0","0.0","15.0","246.0","58.0","2537.0","115541.0","47003.0","4742.0","28612.0","4565.0","51.0","30333.0","235.0","4467.0","1865.0","2514.0","88.0","1118.0","1050.0","38.0","30.0"
"平成 7年度(1995年度)","316.0","0.0","15.0","247.0","54.0","2442.0","136277.0","57853.0","5723.0","35619.0","4191.0","72.0","31336.0","1483.0","4380.0","1966.0","2271.0","142.0","1193.0","1146.0","25.0","22.0"
"平成12年度(2000年度)","318.0","0.0","14.0","249.0","55.0","2916.0","146049.0","57477.0","6640.0","45250.0","5124.0","111.0","31195.0","252.0","3290.0","1186.0","1986.0","118.0","1526.0","1510.0","13.0","3.0"
"平成17年度(2005年度)","317.0","0.0","14.0","249.0","54.0","2653.0","114387.0","46828.0","4209.0","33897.0","2518.0","114.0","26197.0","623.0","2679.0","702.0","1892.0","84.0","6977.0","6700.0","36.0","241.0"
"","","","","","","","","","","","","","","","","","","","","","",""
"平成19年度(2007年度)","317.0","263.0","0.0","0.0","54.0","…","102612.0","39225.0","3567.0","33277.0","2080.0","117.0","24332.0","15.0","2740.0","498.0","2130.0","59.0","10936.0","x","x","x"
"平成20年度(2008年度)","315.0","263.0","0.0","0.0","52.0","2584.0","101947.0","39549.0","3596.0","32931.0","1913.0","117.0","23743.0","98.0","2592.0","481.0","2051.0","60.0","12633.0","x","x","x"
"平成21年度(2009年度)","317.0","263.0","0.0","0.0","54.0","2595.0","101157.0","38378.0","3773.0","33678.0","1791.0","106.0","22458.0","614.0","1964.0","355.0","1553.0","56.0","13308.0","x","x","x"
"平成22年度(2010年度)","317.0","263.0","0.0","0.0","54.0","2637.0","98043.0","37590.0","3514.0","32125.0","1665.0","104.0","22654.0","391.0","1984.0","332.0","1600.0","52.0","14766.0","x","x","x"
"","","","","","","","","","","","","","","","","","","","","","",""
"平成23年度(2011年度)","316.0","263.0","0.0","0.0","53.0","2646.0","92439.0","37008.0","3349.0","28367.0","1640.0","91.0","21428.0","556.0","1916.0","315.0","1554.0","48.0","15327.0","x","x","x"
"平成24年度(2012年度)","316.0","263.0","0.0","0.0","53.0","2628.0","91161.0","37580.0","3332.0","27510.0","1526.0","107.0","20628.0","478.0","1878.0","309.0","1526.0","43.0","16010.0","x","x","x"
"平成25年度(2013年度)","319.0","263.0","0.0","0.0","56.0","2623.0","88580.0","37000.0","3555.0","25981.0","1470.0","103.0","20046.0","425.0","2333.0","304.0","1988.0","41.0","18596.0","x","x","x"
"平成26年度(2014年度)","318.0","263.0","0.0","0.0","55.0","2622.0","101954.0","44527.0","3865.0","32114.0","1413.0","108.0","19387.0","540.0","2302.0","288.0","1976.0","38.0","19670.0","x","x","x"
